img1;img2;all_images;product-code;product-title;sizes;price;colors
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3329480/l_20182-8wg839z1-mmq_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3329480/l_20182-8wg839z1-mmq_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3329480/l_20182-8wg839z1-mmq_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3329480/l_20182-8wg839z1-mmq_b.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3329480/l_20182-8wg839z1-mmq_z.jpg;8WG839Z1 - MMQ - Kırmızı Jakarlı;Erkek Bebek Triko Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;64,99 TL;Kırmızı Jakarlı
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591485/v1/l_20201-0san92z1-lsf_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4591485/l_20201-0san92z1-lsf_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591485/v1/l_20201-0san92z1-lsf_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4591485/l_20201-0san92z1-lsf_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591485/l_20201-0san92z1-lsf_b.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591485/l_20201-0san92z1-lsf_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591485/l_20201-0san92z1-lsf_z.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4591485/l_20201-0san92z1-lsf_z.jpg;0SAN92Z1 - LSF - Açık Lacivert Ba;Antebies Organik Pamuklu Erkek Bebek Baskılı Çıtçıtlı Body;0-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;60,90 TL;Açık Lacivert Ba
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-gye_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-gye_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-gye_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-gye_b.jpg;0ST348Z1 - GYE - Kırmızı;Luggi Baby Yenidoğan Polo Yaka Tulum;3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;59,99 TL;Ekru,Lacivert,Kırmızı
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4591483/l_20201-0san90z1-cr8_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591483/v1/l_20201-0san90z1-cr8_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4591483/l_20201-0san90z1-cr8_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591483/v1/l_20201-0san90z1-cr8_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591483/l_20201-0san90z1-cr8_b.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591483/l_20201-0san90z1-cr8_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4591483/l_20201-0san90z1-cr8_z.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591483/v1/l_20201-0san90z1-cr8_z.jpg;0SAN90Z1 - CR8 - Bej;Antebies Organik Pamuklu Erkek Bebek Patikli Tulum;0-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;60,90 TL;Bej,Lacivert
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3181854/l_20182-8w1680z1-d5e_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3181854/l_20182-8w1680z1-d5e_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3181854/l_20182-8w1680z1-d5e_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20182/5/3181854/l_20182-8w1680z1-d5e_b.jpg;8W1680Z1 - D5E - Indıgo Melanj;Erkek Bebek Patikli Pelüş Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;79,99 TL;Indıgo Melanj
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4594036/v11/l_20201-0sap62z1-lqq_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4594036/v10/l_20201-0sap62z1-lqq_z.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4594036/v11/l_20201-0sap62z1-lqq_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4594036/v10/l_20201-0sap62z1-lqq_z.jpg;0SAP62Z1 - LQQ - Mavi Baskılı;Organic Kid Organik Pamuklu Baskılı Tulum;0-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;79,99 TL;Mavi Baskılı
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20192/5/3626937/l_20192-9w7020z1-hju_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20192/5/3626937/l_20192-9w7020z1-hju_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20192/5/3626937/l_20192-9w7020z1-hju_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20192/5/3626937/l_20192-9w7020z1-hju_b.jpg;9W7020Z1 - HJU - Koyu Gri;Erkek Bebek Desenli Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;39,99 TL;Koyu Gri
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4331596/l_20201-0st412z3-eew_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4331596/l_20201-0st412z3-eew_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4331596/l_20201-0st412z3-eew_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4331596/l_20201-0st412z3-eew_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4331596/l_20201-0st412z3-eew_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4331596/l_20201-0st412z3-eew_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4331596/l_20201-0st412z3-eew_z.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4331596/l_20201-0st412z3-eew_z.jpg;0ST412Z3 - EEW - Ekru;Luggi Baby Yenidoğan Baskılı Tulum;1-2 Yaş,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;69,99 TL;Ekru
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4591462/l_20201-0san69z1-csv_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591462/v1/l_20201-0san69z1-csv_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4591462/l_20201-0san69z1-csv_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591462/v1/l_20201-0san69z1-csv_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591462/l_20201-0san69z1-csv_a1.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591462/l_20201-0san69z1-csv_b.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4591462/v1/l_20201-0san69z1-csv_z.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4591462/l_20201-0san69z1-csv_z.jpg;0SAN69Z1 - CSV - Mavi;Antebies Organik Pamuklu Kız Bebek Tulum;0-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;59,90 TL;Yeşil,Mavi
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-crp_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-crp_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-crp_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/2/4319508/l_20201-0st348z1-crp_b.jpg;0ST348Z1 - CRP - Lacivert;Luggi Baby Yenidoğan Polo Yaka Tulum;3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;59,99 TL;Ekru,Lacivert,Kırmızı
